isHome,shotType,situation,bodyPart,goalMouthLocation,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.gender,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.nameTranslation.bn,player.fieldTranslations.nameTranslation.hi,player.fieldTranslations.shortNameTranslation.ar,player.fieldTranslations.shortNameTranslation.bn,player.fieldTranslations.shortNameTranslation.hi,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalkeeper.name,goalkeeper.firstName,goalkeeper.lastName,goalkeeper.slug,goalkeeper.shortName,goalkeeper.position,goalkeeper.jerseyNumber,goalkeeper.userCount,goalkeeper.gender,goalkeeper.id,goalkeeper.fieldTranslations.nameTranslation.ar,goalkeeper.fieldTranslations.nameTranslation.bn,goalkeeper.fieldTranslations.nameTranslation.hi,goalkeeper.fieldTranslations.shortNameTranslation.ar,goalkeeper.fieldTranslations.shortNameTranslation.bn,goalkeeper.fieldTranslations.shortNameTranslation.hi,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,player.firstName,player.lastName,player.sofascoreId,goalkeeper.sofascoreId,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,match_id,goalType,goal
True,miss,fast-break,right-foot,left,0.4101853966713,0.0,6895162,88,,5221,3,179,2521,shot,Taiwo Awoniyi,taiwo-awoniyi,T. Awoniyi,F,9,3419,M,359664,تايوو أونيي,তাইও আওনিয়ি,ताइवो अवोनीयी,ت. أونيي,টি. আওনিয়ি,टी. अवोनीयी,13.8,59.7,0,0,60.8,1.4,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,59.7,13.8,39.2,0,39.2,98.6,,,,,,,,,,14023995,,False
True,block,regular,right-foot,low-right,0.010126993060112,0.0,6895099,76,,4534,15,866,1834,shot,Ryan Yates,ryan-yates,R. Yates,M,22,891,M,846252,ريان ييتس,রায়ান ইয়েটস,रयान येट्स,ر. ييتس,আর. ইয়েটস,आर. येट्स,20.4,74.0,0,0,48.0,19.0,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,74.0,20.4,52.0,0,52.0,81.0,,,,,19.5,73.1,0.0,73.1,19.5,14023995,,False
False,miss,corner,left-foot,close-left,0.082908436655998,0.0,6895001,66,,3923,25,1477,1223,shot,Saša Lukić,sasa-lukic,S. Lukić,M,20,2054,M,371222,ساسا لوكيتش,সাসা লুকিচ,साशा लुकीच,س. لوكيتش,এস. লুকিচ,एस. लुकीच,14.9,49.0,0,0,57.0,13.9,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,49.0,14.9,43.0,0,43.0,86.1,,,,,,,,,,14023995,,False
False,block,regular,right-foot,low-left,0.059428833425045,0.0,6894995,65,,3886,26,1514,1186,shot,Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,4439,M,1015256,رودريغو مونيز,রদ্রিগো মুনিজ,रोड्रिगो मुनिज़,ر. مونيز,আর. মুনিজ,आर. मुनिज़,15.9,55.5,0,0,54.6,19.0,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,55.5,15.9,45.4,0,45.4,81.0,,,RodrigoMuniz019,,7.0,49.8,0.0,49.8,7.0,14023995,,False
True,post,assisted,left-foot,high,0.08202338218689,0.0,6894833,58,,3427,33,1973,727,shot,Ola Aina,ola-aina,O. Aina,D,34,4058,M,800417,أولا أينا,ওলা আইনা,ओला आइना,أ. أينا,ও. আইনা,ओ. आइना,18.4,44.1,0,0,46.6,39.2,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,44.1,18.4,53.4,0,53.4,60.8,,,,,,,,,,14023995,,False
False,miss,corner,head,close-left,0.39064741134644,0.0,6894495,45,4.0,2890,1,2510,190,shot,Joshua King,joshua-king,J. King,M,24,1812,M,1546231,جوشوا كينغ,,,ج. كينغ,,,1.2,46.4,0,0,56.8,13.9,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,46.4,1.2,43.2,0,43.2,86.1,Joshua King,,,,,,,,,14023995,,False
False,block,free-kick,left-foot,low-centre,0.067745521664619,0.0,6894480,45,3.0,2848,1,2552,148,shot,Harry Wilson,harry-wilson,H. Wilson,M,8,5176,M,355528,هاري ويلسون,হ্যারি উইলসন,हैरी विल्सन,ه. ويلسون,এইচ. উইলসন,एच. विल्सन,26.2,50.2,0,0,49.4,19.0,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,50.2,26.2,50.6,0,50.6,81.0,,,,,15.3,50.4,0.0,50.4,15.3,14023995,,False
True,block,corner,right-foot,low-centre,0.024105507880449,0.0,6894454,45,,2669,1,31,2669,shot,Murillo,murillo,Murillo,D,5,10050,M,1199282,موريو,মুরিলো,मुरिलो,موريو,মুরিলো,मुरिलो,20.7,51.9,0,0,49.3,19.0,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,51.9,20.7,50.7,0,50.7,81.0,Murillo,,murillosantiago40,,17.3,51.6,0.0,51.6,17.3,14023995,,False
True,block,corner,right-foot,low-centre,0.012991096824408,0.0,6894441,44,,2626,2,74,2626,shot,Neco Williams,williams-neco,N. Williams,D,3,3206,M,927356,ويليامز، نيكو,"উইলিয়ামস, নেকো","विलियम्स, नेको",ن. ويليامز,এন. উইলিয়ামস,एन. विलियम्स,22.8,27.2,0,0,51.8,19.0,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,27.2,22.8,48.2,0,48.2,81.0,,,,,19.8,30.0,0.0,30.0,19.8,14023995,,False
False,miss,assisted,left-foot,right,0.078055083751678,0.0,6894357,38,,2265,8,435,2265,shot,Harry Wilson,harry-wilson,H. Wilson,M,8,5176,M,355528,هاري ويلسون,হ্যারি উইলসন,हैरी विल्सन,ه. ويلسون,এইচ. উইলসন,एच. विल्सन,14.8,33.3,0,0,40.3,20.8,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,33.3,14.8,59.7,0,59.7,79.2,,,,,6.3,47.5,0.0,47.5,6.3,14023995,,False
